kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;oplegger_geremd;aantal_wielen;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;maximum_massa_trekken_ongeremd;aantal_deuren;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;volgnummer_wijziging_eu_typegoedkeuring;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;maximum_trekken_massa_geremd;maximale_constructiesnelheid;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;afwijkende_maximum_snelheid;hoogte_voertuig;type_gasinstallatie;aantal_staanplaatsen;subcategorie_nederland;zuinigheidsclassificatie
V289ST;Bedrijfsauto;IVECO;DAILY;20221204;20181205;10951;opleggertrekker;3;N.v.t.;N.v.t.;4;2998;1870;3500;1970;20110307;20181205;Geen verstrekking in Open Data;44659;Ja;6780;4;220;N1;r. balk a. vooras;3500;0.07;300;Nee;Nee;Nee;8750;2021;Geen oordeel;05;Ja;2022-12-04T00:00:00.000;2018-12-05T00:00:00.000;2011-03-07T00:00:00.000;2018-12-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16BRNH;Bedrijfsauto;IVECO;35C;20200417;20190828;;gesloten opbouw;3;N.v.t.;N.v.t.;4;2800;2300;3500;2400;20030702;20041110;Geen verstrekking in Open Data;;Ja;;4;198;N1;tegen r. balk a. vooras;3500;0.04;330;Nee;Nee;Nee;7000;2019;Geen oordeel;05;Ja;2020-04-17T00:00:00.000;2019-08-28T00:00:00.000;2003-07-02T00:00:00.000;2004-11-10T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1200;3500;3500;;;;;;;;;;;;;;;;;;;;;;;;;
24VDX4;Bedrijfsauto;IVECO;40C;20221217;20140724;12678;opleggertrekker;7;N.v.t.;N.v.t.;4;2998;2150;3500;2250;20060223;20070201;Geen verstrekking in Open Data;;Ja;5340;4;210;N1;tegen r. balk a. vooras;3500;0.04;345;Nee;Nee;Nee;7490;2021;Onlogisch;04;Ja;2022-12-17T00:00:00.000;2014-07-24T00:00:00.000;2006-02-23T00:00:00.000;2007-02-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;20110219;2011-02-19T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
12BZDK;Bedrijfsauto;IVECO;35C 35C17V EURO 3;20210903;20220303;15479;gesloten opbouw;;N.v.t.;N.v.t.;4;2998;2200;3500;2300;20060614;20060614;Geen verstrekking in Open Data;;Ja;;4;200;N1;tegen r. balk a. vooras;3500;0.05;330;Ja;Nee;Nee;7000;2022;Logisch;00;Nee;2021-09-03T00:00:00.000;2022-03-03T00:00:00.000;2006-06-14T00:00:00.000;2006-06-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1300;3500;3500;;;750;0;0;0;0;0;;;;;;;;;;;;;;;;;
VS456D;Bedrijfsauto;IVECO;50C17;20221126;20151118;16294;gesloten opbouw;3;N.v.t.;N.v.t.;4;2998;2706;3500;2806;20151118;20151118;Geen verstrekking in Open Data;67713;Ja;;4;201;N2;r. balk by vooras;5200;0.04;352;Nee;Nee;Nee;8700;2021;Logisch;00;Ja;2022-11-26T00:00:00.000;2015-11-18T00:00:00.000;2015-11-18T00:00:00.000;2015-11-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;794;3500;3500;;;750;0;0;0;0;0;IS56CC2BA;e3*2007/46*0119*06;FM11C1C;ED15HA11B6BD66A;0;;;;;;;;;;;;
BZTF94;Bedrijfsauto;IVECO;65C14 EURO V HD EEV;20230211;20120312;;gesloten opbouw;2;N.v.t.;N.v.t.;4;2998;3700;6500;3800;20120206;20120206;Geen verstrekking in Open Data;;Ja;;4;232;N2;r. balk by vooras;6500;0.03;375;Nee;Nee;Nee;10000;;Niet geregistreerd;NG;Ja;2023-02-11T00:00:00.000;2012-03-12T00:00:00.000;2012-02-06T00:00:00.000;2012-02-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2800;;;20230531;2023-05-31T00:00:00.000;;;;;640;;;;;;;;;;;;;;;;;;
VH146D;Bedrijfsauto;IVECO;35S13;20230210;20220208;10463;neerklapbare zijschotten;3;N.v.t.;N.v.t.;4;2287;2130;3500;2230;20140130;20140130;Geen verstrekking in Open Data;43169;Ja;;4;213;N1;r. balk by vooras;3500;0.04;375;Nee;Nee;Nee;7000;2022;Logisch;00;Ja;2023-02-10T00:00:00.000;2022-02-08T00:00:00.000;2014-01-30T00:00:00.000;2014-01-30T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1370;3500;3500;;;750;;;;;;IS35SI2AA;;;;;;;;;;;;;;;;
VS231H;Bedrijfsauto;IVECO;35S13;20221125;20151123;14105;gesloten opbouw;3;N.v.t.;N.v.t.;4;2287;2321;3500;2421;20151123;20151123;Geen verstrekking in Open Data;58500;Ja;;4;201;N1;r. balk by vooras;3500;0.04;352;Nee;Nee;Nee;7000;2021;Logisch;00;Ja;2022-11-25T00:00:00.000;2015-11-23T00:00:00.000;2015-11-23T00:00:00.000;2015-11-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1179;3500;3500;;;750;0;0;0;0;0;IS35SC2AA;e3*2007/46*0120*05;FD11A1A;BD14CA11B6FD46A;0;;;;;;;;;;;;
VN014B;Bedrijfsauto;IVECO;35C13;20221026;20220210;12913;gesloten opbouw;3;N.v.t.;N.v.t.;4;2287;2376;3500;2476;20121029;20150625;Geen verstrekking in Open Data;53484;Ja;;4;200;N1;r. balk by vooras;3500;0.04;395;Nee;Nee;Nee;7000;2022;Geen oordeel;05;Ja;2022-10-26T00:00:00.000;2022-02-10T00:00:00.000;2012-10-29T00:00:00.000;2015-06-25T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1124;3500;3500;;;750;0;0;0;0;0;IS35CC2AA;e3*2007/46*0116*01;FD11A1A;BA13EA6B6AD56;0;;;;;;;;;;;;
VZ826N;Bedrijfsauto;IVECO;40C17;20221126;20190704;14058;gesloten opbouw;3;N.v.t.;N.v.t.;4;2998;2850;3500;2950;20160913;20160913;Geen verstrekking in Open Data;58302;Ja;;4;220;N2;r. balk by vooras;4200;0.04;375;Nee;Nee;Nee;;2021;Logisch;00;Ja;2022-11-26T00:00:00.000;2019-07-04T00:00:00.000;2016-09-13T00:00:00.000;2016-09-13T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;650;;;;;;;;;;;IS52CI2BA;;;;;;;;;;;;;;;;
