kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;oplegger_geremd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;vervaldatum_tachograaf;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;vervaldatum_tachograaf_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_massa_trekken_ongeremd;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;maximum_ondersteunende_snelheid;afwijkende_maximum_snelheid;catalogusprijs;maximale_constructiesnelheid;jaar_laatste_registratie_tellerstand;hoogte_voertuig;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;maximum_trekken_massa_geremd;aantal_staanplaatsen;subcategorie_nederland
39BGG6;Bedrijfsauto;MAN;TGX;20220918;20211130;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7806;19500;7906;20150918;20150918;Geen verstrekking in Open Data;Ja;42094;2;4;0;481;630;250;N3;r. balk by vooras;20500;L.2007.46.001;e4*2007/46*0229*20;06X04ZBBABAE2AA;K1ACB;0;0.04;390;Ja;Nee;20230824;Nee;50000;0;Niet geregistreerd;NG;Nee;2022-09-18T00:00:00.000;2021-11-30T00:00:00.000;2015-09-18T00:00:00.000;2015-09-18T00:00:00.000;2023-08-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
23BDG6;Bedrijfsauto;MAN;TGM;20230511;20170522;voor vervoer voertuigen;3;N.v.t.;N.v.t.;6;6871;6765;11990;6865;20131106;20131106;Geen verstrekking in Open Data;Ja;;;4;;847;843;250;N2;r. balk by vooras;11990;L.2007.46.013;;;;;0.03;443;Nee;Nee;20230324;Nee;15490;;Niet geregistreerd;NG;Ja;2023-05-11T00:00:00.000;2017-05-22T00:00:00.000;2013-11-06T00:00:00.000;2013-11-06T00:00:00.000;2023-03-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;5225;3500;3500;;;;;;;;;;;;;
BXVT18;Bedrijfsauto;MAN;TGS 18.400 4X2 BLS EEV;20221221;20150227;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;7389;19500;7489;20101221;20101221;Geen verstrekking in Open Data;Ja;42611;0;4;0;467;618;250;N3;r. balk by vooras;20500;TGS 2 ACHSER N3 SZM;nl*2001/116*0320*01;SV18D20664X2MBLA;EV06;0;0.04;390;Nee;Nee;20230929;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-12-21T00:00:00.000;2015-02-27T00:00:00.000;2010-12-21T00:00:00.000;2010-12-21T00:00:00.000;2023-09-29T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
92BDJ1;Bedrijfsauto;MAN;TGX;20220723;20131223;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;7427;19000;7527;20131223;20131223;Geen verstrekking in Open Data;Ja;42573;0;4;0;463;630;250;N3;r. balk by vooras;20000;L.2007.46.001;e4*NKS*0053*03;06X04A81AA;37530000373700J5ACB;0;0.04;390;Nee;Nee;20240331;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-07-23T00:00:00.000;2013-12-23T00:00:00.000;2013-12-23T00:00:00.000;2013-12-23T00:00:00.000;2024-03-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
66BFL6;Bedrijfsauto;MAN;TGS;20230102;20150108;kipper;2;N.v.t.;N.v.t.;6;12419;20550;49000;20650;20141216;20141230;Geen verstrekking in Open Data;Ja;;;10;;900;980;250;N3;r. balk by vooras;49000;;;;;;0.02;685;Nee;Nee;20221231;Nee;50000;;Niet geregistreerd;NG;Ja;2023-01-02T00:00:00.000;2015-01-08T00:00:00.000;2014-12-16T00:00:00.000;2014-12-30T00:00:00.000;2022-12-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;28450;19541;11603;;;;;;;;;;;;;
BTTB60;Bedrijfsauto;MAN;TGM 18.280 4X2 BL;20230225;20121022;gesloten opbouw;2;N.v.t.;N.v.t.;6;6871;9980;18600;10140;20080219;20080219;Geen verstrekking in Open Data;Ja;;0;4;0;0;867;255;N3;tegen r. balk v. vooras;18600;TGM 2 ASSER N3;nl*2001/116*0077*04;TGMLU4X2M19D0836BLA;E41B;0;0.02;543;Nee;Nee;20240214;Nee;22100;0;Niet geregistreerd;NG;Ja;2023-02-25T00:00:00.000;2012-10-22T00:00:00.000;2008-02-19T00:00:00.000;2008-02-19T00:00:00.000;2024-02-14T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;8620;;;;;;;;;;;;;;;
96BNF3;Bedrijfsauto;MAN;TGL;20230401;20190405;takelwagen;6;N.v.t.;N.v.t.;4;4580;7460;11990;7560;20190401;20190404;Geen verstrekking in Open Data;Ja;;;4;;;910;240;N2;r. balk by vooras;11990;L.2007.46.011;;;;;0.02;485;Nee;Nee;20230317;Nee;;;Niet geregistreerd;NG;Ja;2023-04-01T00:00:00.000;2019-04-05T00:00:00.000;2019-04-01T00:00:00.000;2019-04-04T00:00:00.000;2023-03-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;4530;;;;;;;;;;;;;;;
26BKG6;Bedrijfsauto;MAN;TGS;20221215;20220210;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7267;19000;7367;20171215;20171215;Geen verstrekking in Open Data;Ja;42633;2;4;0;454;598;250;N3;op balk v. r.;20500;L.2007.46.001;e4*2007/46*0229*28;06S04ZBBABAG9AA;K1ACB;0;0.04;360;Nee;Nee;20231029;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-12-15T00:00:00.000;2022-02-10T00:00:00.000;2017-12-15T00:00:00.000;2017-12-15T00:00:00.000;2023-10-29T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
17BLR9;Bedrijfsauto;MAN;TGS;20221217;20181227;afneembare bovenbouw;2;N.v.t.;N.v.t.;6;10518;9335;26500;9435;20181217;20181217;Geen verstrekking in Open Data;Ja;;;8;;945;980;250;N3;r. balk by vooras;26500;L.2007.46.003;;;;;0.02;585;Nee;Nee;20221214;Nee;47000;;Niet geregistreerd;NG;Ja;2022-12-17T00:00:00.000;2018-12-27T00:00:00.000;2018-12-17T00:00:00.000;2018-12-17T00:00:00.000;2022-12-14T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;17165;29525;14515;;;;;;;;;;;;;
BJZD25;Bedrijfsauto;MAN;M39;20221129;20161220;geconditioneerd voertuig;;N.v.t.;N.v.t.;6;;10200;18600;10300;20010302;20010302;Geen verstrekking in Open Data;Ja;;;4;;;1064;260;N3;tegen r. balk tussen 1e veerh. en vooras;18600;;;;;;0.02;590;Nee;Nee;20120303;Nee;22100;;Niet geregistreerd;NG;Ja;2022-11-29T00:00:00.000;2016-12-20T00:00:00.000;2001-03-02T00:00:00.000;2001-03-02T00:00:00.000;2012-03-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;8400;;;;;;;;;;;;;;;
