kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;type;laadvermogen;aanhangwagen_middenas_geremd;maximum_ondersteunende_snelheid;aanhangwagen_autonoom_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;type_gasinstallatie;verticale_belasting_koppelpunt_getrokken_voertuig;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt
02XLNV;Personenauto;OPEL;ZAFIRA;20230124;20130122;7211;MPV;7;ZWART;Niet geregistreerd;4;1796;1403;2095;1503;750;1200;20070712;20070712;Geen verstrekking in Open Data;29954;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;2095;e1*2001/116*0325*04;BG11;1A07ANBABG7;0;0.07;270;Nee;Nee;Nee;3305;0;2021;Logisch;00;Ja;2023-01-24T00:00:00.000;2013-01-22T00:00:00.000;2007-07-12T00:00:00.000;2007-07-12T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
78HFJ3;Personenauto;OPEL;MERIVA-A;20230219;20130222;4610;MPV;5;GRIJS;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20081031;20081031;Geen verstrekking in Open Data;20569;Ja;4;4;0;0;405;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*11;BJ11;1A02A4CJAH5;0;0.06;263;Nee;Nee;Nee;3085;0;2022;Logisch;00;Ja;2023-02-19T00:00:00.000;2013-02-22T00:00:00.000;2008-10-31T00:00:00.000;2008-10-31T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;X01MONOCAB;;;;;;;;;;;;;;
V008VJ;Bedrijfsauto;OPEL;COMBO VAN;20230110;20211218;5806;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1265;1765;1365;500;;20190110;20190110;Geen verstrekking in Open Data;23565;Ja;0;4;0;0;439;183;N1;;2040;e3*2007/46*0076*14;ZXU1A;SN2BE;0;0.05;276;Nee;Nee;Nee;2765;0;2021;Logisch;00;Ja;2023-01-10T00:00:00.000;2021-12-18T00:00:00.000;2019-01-10T00:00:00.000;2019-01-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;COMBO-D-VAN;500;1000;0;;;;;;;;;;;
31RHL2;Personenauto;OPEL;INSIGNIA SPORTS TOURER SW;20230310;20150312;8379;MPV;5;GRIJS;Niet geregistreerd;4;1598;1560;2203;1660;750;1700;20110531;20110531;Geen verstrekking in Open Data;31744;Ja;4;4;0;0;491;0;M1;r. schutbord;2203;e1*2007/46*0374*03;FB11;1AAJD9BRDHK5;0;0.08;274;Nee;Nee;Nee;3875;0;2022;Logisch;00;Ja;2023-03-10T00:00:00.000;2015-03-12T00:00:00.000;2011-05-31T00:00:00.000;2011-05-31T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0G-A;;;0;;;;;;;;;;;
50NDS7;Personenauto;OPEL;ZAFIRA;20221229;20171230;5383;MPV;7;GRIJS;Niet geregistreerd;4;1598;1405;2090;1505;750;1000;20100813;20100813;Geen verstrekking in Open Data;27179;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;2090;e1*2001/116*0325*10;BK11;1A01A2BGAM7;0;0.06;270;Nee;Nee;Nee;3100;0;2021;Logisch;00;Ja;2022-12-29T00:00:00.000;2017-12-30T00:00:00.000;2010-08-13T00:00:00.000;2010-08-13T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;A-H/MONOCAB;;;;;;;;;;;;;;
02NJZ6;Personenauto;OPEL;ASTRA STATION WAGON;20230103;20210905;4473;stationwagen;5;ZWART;Niet geregistreerd;4;1598;1178;1860;1278;630;1100;20100924;20100924;Geen verstrekking in Open Data;24235;Ja;4;4;0;0;452;0;M1;by bodemplaat r. voorzitting;1860;e1*2007/46*0341*02;FY11;1A06A5EBBN5;0;0.07;270;Nee;Nee;Nee;3000;0;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2021-09-05T00:00:00.000;2010-09-24T00:00:00.000;2010-09-24T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;A-H/SW;;;;;;;;;;;;;;
TP710S;Personenauto;OPEL;CORSA-E;20240217;20190517;3050;hatchback;5;GRIJS;Niet geregistreerd;3;999;1099;1680;1199;560;1200;20180928;20180928;Geen verstrekking in Open Data;20746;Ja;5;4;0;0;402;0;M1;;1680;e1*2001/116*0379*41;CAABC12;BX2F5KH9A5;0;0.06;251;Nee;Nee;Nee;2880;0;2022;Logisch;00;Ja;2024-02-17T00:00:00.000;2019-05-17T00:00:00.000;2018-09-28T00:00:00.000;2018-09-28T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
74NTLG;Personenauto;OPEL;MERIVA-A;20221222;20120622;4204;MPV;5;GRIJS;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20040220;20040220;Geen verstrekking in Open Data;;Ja;4;4;0;0;404;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*03;BB11;1A02A4CAAF5;0;0.05;263;Nee;Nee;Nee;3080;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2012-06-22T00:00:00.000;2004-02-20T00:00:00.000;2004-02-20T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
2TFG91;Personenauto;OPEL;AGILA;20230217;20151008;1375;stationwagen;5;ZWART;Niet geregistreerd;3;996;950;1485;1050;;;20140130;20140130;Geen verstrekking in Open Data;11379;Ja;4;4;0;0;374;0;M1;op r. schroefveerkoker onder motorkap;1485;e4*2001/116*0135*14;AE11;3AAAA1AAAA5;0;0.05;236;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2015-10-08T00:00:00.000;2014-01-30T00:00:00.000;2014-01-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;H-B;;;;;;;;;;;;;;
73SFFK;Personenauto;OPEL;ZAFIRA;20230217;20160209;6665;MPV;7;GRIJS;Niet geregistreerd;4;1796;1403;2095;1503;750;1200;20051123;20051123;Geen verstrekking in Open Data;28313;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;2095;e1*2001/116*0325*01;BG11;1A07ANBABG7;0;0.07;270;Nee;Nee;Nee;3305;0;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2016-02-09T00:00:00.000;2005-11-23T00:00:00.000;2005-11-23T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
