kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;maximale_constructiesnelheid;laadvermogen;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;aantal_cilinders;cilinderinhoud;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;vermogen_massarijklaar;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;hoogte_voertuig;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;aantal_staanplaatsen;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;aanhangwagen_middenas_geremd;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;aanhangwagen_autonoom_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;subcategorie_nederland;hoogte_voertuig_minimum;hoogte_voertuig_maximum;afwijkende_maximum_snelheid
WSXF69;Aanhangwagen;ANSSEMS;KSX2;20220214;kipper;N.v.t.;N.v.t.;770;3000;20060307;20060307;Geen verstrekking in Open Data;N.v.t.;100;2230;0;0;453;0;456;185;O2;r. tegen voorste dwarsbalk;3000;0;70;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2022-02-14T00:00:00.000;2006-03-07T00:00:00.000;2006-03-07T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G348VJ;Personenauto;VOLKSWAGEN;TIGUAN;20200327;stationwagen;ZWART;Niet geregistreerd;1550;2350;20200103;20200103;Geen verstrekking in Open Data;Ja;198;;5;4;0;0;471;186;M1;;2350;0;279;Nee;Nee;Nee;4190;Logisch;00;Ja;2020-03-27T00:00:00.000;2020-01-03T00:00:00.000;2020-01-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240103;7706;7;4;1498;1650;750;1800;49509;5N;e1*2001/116*0450*44;ACDPCAX0;FD7FD7GC008L7R5NVR24BF1CSA;0.07;0;0;2021;2024-01-03T00:00:00.000;166;D;;;;;;;;;;;;;;;;
LHV84Z;Land- of bosb aanhw of getr uitr stuk;KRONE;OPTIMAT 2.5;20211108;Niet geregistreerd;N.v.t.;N.v.t.;;;19730630;20211108;Geen verstrekking in Open Data;Nee;40;;;;;;;;S;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-11-08T00:00:00.000;1973-06-30T00:00:00.000;2021-11-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37WVZF;Middenasaanhangwagen;HULCO;MEDAX-2;20200319;neerklapbare zijschotten;N.v.t.;N.v.t.;635;3000;20200319;20200319;Geen verstrekking in Open Data;N.v.t.;140;2365;0;4;557;0;560;210;O2;;3000;0;391;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2020-03-19T00:00:00.000;2020-03-19T00:00:00.000;2020-03-19T00:00:00.000;120;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;MEDAX-2;e4*2007/46*0300*03;B;N/A;;0;0;;;96;;;;;;;;;;;;;;;;;
H095JD;Personenauto;VOLVO;XC40;20200212;stationwagen;ZWART;Niet geregistreerd;1581;2180;20200212;20200212;Geen verstrekking in Open Data;Ja;200;;5;4;0;0;443;187;M1;;2180;0;270;Nee;Nee;Ja;3980;Logisch;00;Ja;2020-02-12T00:00:00.000;2020-02-12T00:00:00.000;2020-02-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221112;13488;5;4;1969;1681;750;1800;55020;X;e9*2007/46*3146*07;XZ72;XZ72VD0?;0.07;0;0;2022;2022-11-12T00:00:00.000;163;E;20211020;2021-10-20T00:00:00.000;;;;;;;;;;;;;;
J798RS;Personenauto;SKODA;KAMIQ;20201020;hatchback;GRIJS;Niet geregistreerd;1151;1760;20201020;20201020;Geen verstrekking in Open Data;Ja;193;;5;4;0;0;424;179;M1;;1760;0;264;Nee;Nee;Nee;2960;Logisch;00;Ja;2020-10-20T00:00:00.000;2020-10-20T00:00:00.000;2020-10-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20241020;4790;5;3;999;1251;620;1200;29695;NW;e8*2007/46*0349*06;ABCDKRFX0;NFD7FD7CW0074BFSTNK4N1A8A;0.07;0;0;2020;2024-10-20T00:00:00.000;156;C;;;;;;;;;;;;;;;;
WT89PZ;Aanhangwagen;BUERSTNER;4664;20200527;caravan;N.v.t.;N.v.t.;970;1100;19970630;19980605;Geen verstrekking in Open Data;N.v.t.;100;130;;2;663;;;217;O2;tegen r. balk 070 cm v. achteras;1100;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2020-05-27T00:00:00.000;1997-06-30T00:00:00.000;1998-06-05T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L709FX;Personenauto;TOYOTA;TOYOTA C-HR;20210512;hatchback;ZWART;Niet geregistreerd;1460;1930;20210512;20210512;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;440;180;M1;;1930;0;264;Nee;Ja;Nee;2655;Logisch;00;Ja;2021-05-12T00:00:00.000;2021-05-12T00:00:00.000;2021-05-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250512;3146;5;4;1987;1560;725;725;40130;AX1T(EU,M);e6*2007/46*0338*04;MAXH10(H);MAXH10L-AHXGBW(4G);0.07;0;0;2022;2025-05-12T00:00:00.000;156;A;;;;;;;;;;;;;;;;
J099NP;Personenauto;SKODA;KAROQ;20200917;stationwagen;GRIJS;Niet geregistreerd;1295;1952;20200917;20200917;Geen verstrekking in Open Data;Ja;205;;5;4;0;0;438;184;M1;;1952;0;262;Nee;Nee;Nee;3452;Logisch;00;Ja;2020-09-17T00:00:00.000;2020-09-17T00:00:00.000;2020-09-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240917;5658;5;4;1498;1395;690;1500;40879;NU;e8*2007/46*0272*17;ACDPCAX0;NFD7FD7CW0024BI15N0N1A2B;0.08;0;0;2021;2024-09-17T00:00:00.000;162;C;;;;;;;;;;;;;;;;
WD24YN;Aanhangwagen;HOBBY;10 D;20070721;caravan;N.v.t.;N.v.t.;794;1050;19900423;19900423;Geen verstrekking in Open Data;N.v.t.;100;256;;2;583;;;210;O2;r. tegen voorste dwarsbalk;1050;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2007-07-21T00:00:00.000;1990-04-23T00:00:00.000;1990-04-23T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
