kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;type;catalogusprijs;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
4KBN00;Personenauto;SPYKER;C8 LAVIOLETTE SWB;20221203;20130311;51239;coupe;2;ZWART;Niet geregistreerd;8;4200;1200;1650;1300;20040726;20130311;Geen verstrekking in Open Data;Ja;2;4;M1;balk r. a.;1650;0.23;255;Nee;Nee;Nee;2021;Geen oordeel;05;Ja;2022-12-03T00:00:00.000;2013-03-11T00:00:00.000;2004-07-26T00:00:00.000;2013-03-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;
4THN13;Personenauto;SPYKER;C8;20221217;20140207;85743;cabriolet;2;ZWART;Niet geregistreerd;8;4163;1279;1650;1379;20050630;20140207;Geen verstrekking in Open Data;Ja;2;4;M1;r. balk motorruimte;1650;0.18;255;Nee;Nee;Nee;2021;Geen oordeel;05;Ja;2022-12-17T00:00:00.000;2014-02-07T00:00:00.000;2005-06-30T00:00:00.000;2014-02-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;
25JDR7;Personenauto;SPYKER;C8 SPYDER;20221130;20211230;75825;cabriolet;2;ZWART;Niet geregistreerd;8;4172;1266;1600;1366;20070701;20090420;Geen verstrekking in Open Data;Ja;2;4;M1;r. balk by achteras;1600;0.18;258;Nee;Nee;Nee;2021;Geen oordeel;05;Ja;2022-11-30T00:00:00.000;2021-12-30T00:00:00.000;2007-07-01T00:00:00.000;2009-04-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;
SR923Z;Personenauto;SPYKER;SPYKER C8 SPYDER;20220615;20180525;95640;cabriolet;2;ZWART;Niet geregistreerd;8;4172;1341;1600;1441;20051102;20180525;Geen verstrekking in Open Data;Ja;2;4;M1;by motorruimte r.;1600;0.2;255;Nee;Nee;Nee;2021;Geen oordeel;05;Ja;2022-06-15T00:00:00.000;2018-05-25T00:00:00.000;2005-11-02T00:00:00.000;2018-05-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;
ZG753P;Personenauto;SPYKER;C8 LAVIOLETTE;20230106;20220111;86467;coupe;2;ORANJE;Niet geregistreerd;8;4172;1290;1650;1390;20090918;20190517;Geen verstrekking in Open Data;Ja;2;4;M1;r. balk by motorruimte;1650;0.18;258;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2023-01-06T00:00:00.000;2022-01-11T00:00:00.000;2009-09-18T00:00:00.000;2019-05-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;LM85;;;
17LHTT;Personenauto;SPYKER;C8;20230113;20150625;100860;cabriolet;;GROEN;Niet geregistreerd;8;;1200;1500;1300;20030207;20030207;Geen verstrekking in Open Data;Ja;2;4;M1;op r. balk onder motorkap;1500;0;257;Nee;Nee;Nee;2022;Geen oordeel;07;Ja;2023-01-13T00:00:00.000;2015-06-25T00:00:00.000;2003-02-07T00:00:00.000;2003-02-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;
54LGZ4;Personenauto;SPYKER;SPYKER C8 AILERON;20200516;20191230;81003;coupe;2;GRIJS;Niet geregistreerd;8;4163;1630;1920;1730;20100414;20100414;Geen verstrekking in Open Data;Nee;2;4;M1;r. balk by motorruimte;1920;0.15;273;Nee;Nee;Nee;2019;Logisch;00;Ja;2020-05-16T00:00:00.000;2019-12-30T00:00:00.000;2010-04-14T00:00:00.000;2010-04-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;C8;323196;;
56ZLDD;Personenauto;SPYKER;C8 DOUBLE 12 S;20230320;20151120;112055;coupe;2;ZWART;Niet geregistreerd;8;4200;1320;1600;1420;20040801;20080311;Geen verstrekking in Open Data;Ja;2;4;M1;r. balk motorruimte;1600;0.21;266;Nee;Nee;Nee;2022;Onlogisch;04;Ja;2023-03-20T00:00:00.000;2015-11-20T00:00:00.000;2004-08-01T00:00:00.000;2008-03-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;
SF093J;Personenauto;SPYKER;C8 SPYDER;20230312;20181128;82425;cabriolet;2;GRIJS;Niet geregistreerd;8;4172;1290;1650;1390;20080820;20180314;Geen verstrekking in Open Data;Ja;2;4;M1;r. balk by motorruimte;1650;0.18;258;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2023-03-12T00:00:00.000;2018-11-28T00:00:00.000;2008-08-20T00:00:00.000;2018-03-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;C8/CABRIOLET;351490;;
27XZJF;Personenauto;SPYKER;SPORTS;20220707;20071116;95640;cabriolet;2;PAARS;Niet geregistreerd;8;4200;1320;1650;1420;20050701;20071108;Geen verstrekking in Open Data;Ja;2;4;M1;r. balk by motorruimte;1650;0.21;257;Nee;Nee;Nee;2021;Geen oordeel;05;Ja;2022-07-07T00:00:00.000;2007-11-16T00:00:00.000;2005-07-01T00:00:00.000;2007-11-08T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;
