kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;type_gasinstallatie;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;laadvermogen;aanhangwagen_middenas_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;aanhangwagen_autonoom_geremd
57ZVL7;Personenauto;SUBARU;FORESTER;20230222;20130222;7105;stationwagen;5;BLAUW;Niet geregistreerd;4;1995;1477;2015;1577;750;2000;20130222;20130222;Geen verstrekking in Open Data;32684;Ja;4;4;0;0;460;0;M1;r. onder voorzitting;2015;SJ;e13*2007/46*1305*00;SJ5;530;0;0.07;264;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2023-02-22T00:00:00.000;2013-02-22T00:00:00.000;2013-02-22T00:00:00.000;2013-02-22T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
08TFNH;Personenauto;SUBARU;FORESTER;20221217;20211222;8452;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1380;1880;1480;725;1500;20060808;20060808;Geen verstrekking in Open Data;;Ja;4;4;0;0;449;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*05;SG5;530;0;0.08;253;Nee;Nee;Nee;3380;0;2021;Logisch;00;Ja;2022-12-17T00:00:00.000;2021-12-22T00:00:00.000;2006-08-08T00:00:00.000;2006-08-08T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
1XVK93;Personenauto;SUBARU;SUBARU XV;20221114;20141114;7434;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1355;1940;1455;650;1200;20141114;20141114;Geen verstrekking in Open Data;31890;Ja;4;4;0;0;445;0;M1;r. bodemplaat by voorzitting;1940;G4;e1*2007/46*0597*04;GX7;5C0;1;0.08;264;Nee;Nee;Nee;3140;0;2021;Logisch;00;Ja;2022-11-14T00:00:00.000;2014-11-14T00:00:00.000;2014-11-14T00:00:00.000;2014-11-14T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
04NFXT;Personenauto;SUBARU;FORESTER;20230107;20211009;7986;stationwagen;5;GROEN;GRIJS;4;1994;1350;1880;1450;725;1500;20030828;20030828;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*00;SG5;510;0;0.06;253;Nee;Nee;Nee;3380;0;2021;Onlogisch;04;Ja;2023-01-07T00:00:00.000;2021-10-09T00:00:00.000;2003-08-28T00:00:00.000;2003-08-28T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
JB523Z;Personenauto;SUBARU;FORESTER;20220723;20210723;15842;stationwagen;5;WIT;Niet geregistreerd;4;2457;1500;2015;1600;750;2000;20100622;20160205;Geen verstrekking in Open Data;42692;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*02;SH9;550;0;0.11;262;Nee;Nee;Nee;4015;0;2021;Geen oordeel;05;Ja;2022-07-23T00:00:00.000;2021-07-23T00:00:00.000;2010-06-22T00:00:00.000;2016-02-05T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
49ZDRZ;Personenauto;SUBARU;IMPREZA;20230119;20210120;5475;stationwagen;5;GRIJS;Niet geregistreerd;4;1498;1285;1850;1385;650;1500;20080111;20080111;Geen verstrekking in Open Data;23589;Ja;4;4;0;0;442;0;M1;midden tegen schutbord onder motorkap;1850;;e1*2001/116*0438*00;GH3;020;0;0.06;262;Nee;Nee;Nee;3350;0;2021;Logisch;00;Ja;2023-01-19T00:00:00.000;2021-01-20T00:00:00.000;2008-01-11T00:00:00.000;2008-01-11T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
ZL038F;Personenauto;SUBARU;OUTBACK;20230706;20190706;15651;stationwagen;5;GRIJS;Niet geregistreerd;4;2498;1583;2100;1683;750;2000;20190706;20190706;Geen verstrekking in Open Data;50419;Ja;4;4;0;0;482;0;M1;;2100;B6;e1*2007/46*1320*03;BS9;C8L;0;0.08;275;Nee;Nee;Nee;4100;0;2022;Logisch;00;Ja;2023-07-06T00:00:00.000;2019-07-06T00:00:00.000;2019-07-06T00:00:00.000;2019-07-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
70RPGP;Personenauto;SUBARU;FORESTER;20230408;20200930;7304;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1335;1880;1435;715;1500;20050630;20050630;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*02;SG5;010;1;0.06;253;Nee;Nee;Nee;3380;0;2022;Onlogisch;04;Ja;2023-04-08T00:00:00.000;2020-09-30T00:00:00.000;2005-06-30T00:00:00.000;2005-06-30T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
15PBT4;Personenauto;SUBARU;FORESTER;20230114;20110114;9616;stationwagen;5;GEEL;Niet geregistreerd;4;1994;1440;2015;1540;750;2000;20110114;20110114;Geen verstrekking in Open Data;36789;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*03;SH5;030;0;0.07;262;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2023-01-14T00:00:00.000;2011-01-14T00:00:00.000;2011-01-14T00:00:00.000;2011-01-14T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
98JNT9;Personenauto;SUBARU;FORESTER;20230126;20180126;7428;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1450;2015;1550;750;1500;20080715;20090713;Geen verstrekking in Open Data;;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*00;SH5;530;0;0.07;262;Nee;Ja;Nee;3515;0;2021;Geen oordeel;05;Ja;2023-01-26T00:00:00.000;2018-01-26T00:00:00.000;2008-07-15T00:00:00.000;2009-07-13T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
