kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;catalogusprijs;maximum_ondersteunende_snelheid;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;laadvermogen;aanhangwagen_middenas_geremd;aanhangwagen_autonoom_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;subcategorie_nederland
HT999X;Personenauto;TOYOTA;TOYOTA AVENSIS;20230214;20211222;6571;stationwagen;5;GRIJS;Niet geregistreerd;4;1998;1330;1895;1430;500;1400;20040622;20160219;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1895;T25;e11*2001/116*0196*01;AZT250(W);AZT250L-AWMGHW(1B);0;0.08;270;Nee;Nee;Nee;3295;0;2021;Geen oordeel;05;Ja;2023-02-14T00:00:00.000;2021-12-22T00:00:00.000;2004-06-22T00:00:00.000;2016-02-19T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
7SVD52;Personenauto;TOYOTA;TOYOTA YARIS HYBRID;20221222;20131221;;MPV;5;BLAUW;Niet geregistreerd;4;1497;1060;1565;1160;;;20131221;20131221;Geen verstrekking in Open Data;Ja;4;4;0;0;391;0;M1;r. voorzitting;1565;XP13M(A);e11*2007/46*0152*06;NHP13(MH);NHP130L-CHXNBW(1G);0;0.01;251;Nee;Nee;Nee;1565;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2013-12-21T00:00:00.000;2013-12-21T00:00:00.000;2013-12-21T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20760;;;;;;;;;;;;;;;
5TNH63;Personenauto;TOYOTA;TOYOTA AURIS;20230109;20180112;;MPV;5;WIT;Niet geregistreerd;4;1798;1310;1815;1410;345;345;20140423;20140423;Geen verstrekking in Open Data;Ja;4;4;0;0;456;0;M1;by bodemplaat r. voorzitting;1815;HE15U(A);e11*2007/46*0018*06;ZWE186(W);ZWE186L-DWXNBW(FR);0;0.01;260;Nee;Nee;Nee;2160;0;2021;Logisch;00;Ja;2023-01-09T00:00:00.000;2018-01-12T00:00:00.000;2014-04-23T00:00:00.000;2014-04-23T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;28680;;;;;;;;;;;;;;;
74TPD8;Personenauto;TOYOTA;TOYOTA AYGO;20230315;20180828;;hatchback;4;ORANJE;Niet geregistreerd;3;998;805;1190;905;;;20120316;20120316;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*09;KGB10(H);KGB10L-AHMGKW(3K);0;0.06;234;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-03-15T00:00:00.000;2018-08-28T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11120;;;;;;;;;;;;;;;
RT923J;Personenauto;TOYOTA;TOYOTA YARIS;20230115;20180220;2875;MPV;5;GRIJS;Niet geregistreerd;4;1329;1010;1480;1110;550;900;20131010;20180220;Geen verstrekking in Open Data;Ja;4;4;0;0;389;0;M1;r. voorzitting;1480;XP13M(A);e11*2007/46*0152*05;NSP13F(MH);NSP130L-CHXNKW(4F);0;0.07;251;Nee;Nee;Nee;2380;0;2021;Geen oordeel;05;Ja;2023-01-15T00:00:00.000;2018-02-20T00:00:00.000;2013-10-10T00:00:00.000;2018-02-20T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;19009;0;;;;;;;;;;;;;;
80TSZK;Personenauto;TOYOTA;TOYOTA AYGO;20230126;20110809;1322;hatchback;4;ZWART;Niet geregistreerd;3;998;815;1190;915;;;20070126;20070126;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;;e11*2001/116*0236*03;KGB10(H);KGB10L-AHGGKW(1D);0;0.05;234;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2023-01-26T00:00:00.000;2011-08-09T00:00:00.000;2007-01-26T00:00:00.000;2007-01-26T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11490;;;;;;;;;;;;;;;
RV030D;Personenauto;TOYOTA;TOYOTA AYGO;20230208;20220216;128;hatchback;4;ROOD;Niet geregistreerd;3;998;775;1180;875;;;20071130;20180217;Geen verstrekking in Open Data;Ja;2;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1180;;e11*2001/116*0236*04;KGB10(G);KGB10L-AGMRKW(1E);0;0.06;234;Nee;Nee;Nee;0;0;2022;Geen oordeel;05;Ja;2023-02-08T00:00:00.000;2022-02-16T00:00:00.000;2007-11-30T00:00:00.000;2018-02-17T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
42RGK9;Personenauto;TOYOTA;TOYOTA AYGO;20230103;20160112;;hatchback;4;GRIJS;Niet geregistreerd;3;998;780;1190;880;;;20110520;20110520;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*08;KGB10(H);KGB10L-AHMRKW(3J);1;0.06;234;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2016-01-12T00:00:00.000;2011-05-20T00:00:00.000;2011-05-20T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9865;;;;;;;;;;;;;;;
JL683R;Personenauto;TOYOTA;TOYOTA AYGO;20240113;20200117;1891;hatchback;4;WIT;Niet geregistreerd;3;998;835;1240;935;;;20160507;20160507;Geen verstrekking in Open Data;Ja;4;4;0;0;346;0;M1;onder r. voorzitting;1240;AB1;e11*2001/116*0236*12;KGB40(H);KGB40L-AHGGKW(1N);0;0.05;234;Nee;Nee;Nee;1240;0;2021;Logisch;00;Ja;2024-01-13T00:00:00.000;2020-01-17T00:00:00.000;2016-05-07T00:00:00.000;2016-05-07T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;14440;;;;;;;;;;;;;;;
22SKDB;Personenauto;TOYOTA;TOYOTA YARIS;20230203;20191231;3682;MPV;5;BLAUW;Niet geregistreerd;4;1298;995;1480;1095;547;900;20060210;20060210;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op bodemplaat by voorzitting;1480;;e11*2001/116*0249*00;SCP90(G);SCP90L-CGMGKW(1A);0;0.06;246;Nee;Nee;Nee;2380;0;2021;Logisch;00;Ja;2023-02-03T00:00:00.000;2019-12-31T00:00:00.000;2006-02-10T00:00:00.000;2006-02-10T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;17430;;;;;;;;;;;;;;;
