kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;type;maximum_ondersteunende_snelheid;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;oplegger_geremd;type_gasinstallatie;maximale_constructiesnelheid;hoogte_voertuig;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;aantal_staanplaatsen;hoogte_voertuig_minimum;hoogte_voertuig_maximum;afwijkende_maximum_snelheid
74SPGK;Personenauto;VOLVO;V50;20230302;20131113;8814;stationwagen;5;GRIJS;Niet geregistreerd;4;1560;1316;1900;1416;700;1300;20060322;20060322;Geen verstrekking in Open Data;32944;Ja;4;4;0;0;451;0;M1;midden op schutbord onder motorkap;1900;e4*2001/116*0076*08;MW76;MW7652??;0;0.06;264;Nee;Nee;Nee;3200;0;2022;Logisch;00;Ja;2023-03-02T00:00:00.000;2013-11-13T00:00:00.000;2006-03-22T00:00:00.000;2006-03-22T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;
HT549S;Personenauto;VOLVO;V60 TWIN ENGINE;20221217;20201224;463;stationwagen;5;GRIJS;Niet geregistreerd;5;2400;1880;2505;1980;750;1800;20151230;20151230;Geen verstrekking in Open Data;67850;Ja;5;4;0;0;464;0;M1;in bodemplaat r. v.;2505;e9*2007/46*0093*09;GWDC;GWDCH0??;0;0.01;278;Nee;Nee;Nee;4305;0;2021;Logisch;00;Ja;2022-12-17T00:00:00.000;2020-12-24T00:00:00.000;2015-12-30T00:00:00.000;2015-12-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;G;0;;;;;;;;;;;;;;;;;
KT229P;Personenauto;VOLVO;V40;20221202;20161202;4620;MPV;5;BLAUW;Niet geregistreerd;4;1969;1331;1965;1431;700;1500;20161202;20161202;Geen verstrekking in Open Data;31780;Ja;5;4;0;0;437;0;M1;in bodemplaat r. v.;1965;e4*2001/116*0076*40;MV21;MV2181??;0;0.06;265;Nee;Nee;Nee;3465;0;2021;Logisch;00;Ja;2022-12-02T00:00:00.000;2016-12-02T00:00:00.000;2016-12-02T00:00:00.000;2016-12-02T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;M;0;;;;;;;;;;;;;;;;;
91BLZ1;Bedrijfsauto;VOLVO;FM;20230218;20190225;;containercarrier;2;N.v.t.;N.v.t.;6;10837;10775;20500;10875;750;;20190218;20190218;Geen verstrekking in Open Data;;Ja;;6;;648;670;255;N3;r. balk by vooras;22000;;;;;0.03;370;Nee;Nee;Nee;50000;;;Niet geregistreerd;NG;Ja;2023-02-18T00:00:00.000;2019-02-25T00:00:00.000;2019-02-18T00:00:00.000;2019-02-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;VTA3R;;9725;39125;24000;20230211;2023-02-11T00:00:00.000;0;;;;;;;;;;;
40BGV4;Bedrijfsauto;VOLVO;FH;20221219;20160301;;opleggertrekker;2;N.v.t.;N.v.t.;6;12777;8341;19000;8441;750;;20160301;20160301;Geen verstrekking in Open Data;;Ja;2;6;0;459;621;254;N3;op balk v. r.;20500;e11*2007/46*3086*00;C3FHA1;N5RR3N67513XX3H4KUUC;0;0.04;380;Nee;Nee;Nee;50000;0;;Niet geregistreerd;NG;Ja;2022-12-19T00:00:00.000;2016-03-01T00:00:00.000;2016-03-01T00:00:00.000;2016-03-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;VTA3T;0;;;;20231126;2023-11-26T00:00:00.000;0;41559;;;;;;;;;;
04BDL1;Bedrijfsauto;VOLVO;FH;20221221;20131220;;opleggertrekker;2;N.v.t.;N.v.t.;6;12777;7375;18600;7475;;;20131220;20131220;Geen verstrekking in Open Data;;Ja;0;4;0;449;601;252;N3;r. balk by vooras;20100;e11*2007/46*0271*05;C3XA4F;N5RR3L67113XXA4KUUA;0;0.04;360;Nee;Nee;Nee;44000;0;;Niet geregistreerd;NG;Ja;2022-12-21T00:00:00.000;2013-12-20T00:00:00.000;2013-12-20T00:00:00.000;2013-12-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;24A3C (4X2 TRACTOR);0;;;;20231130;2023-11-30T00:00:00.000;0;36525;;;;;;;;;;
43XLJG;Personenauto;VOLVO;XC90;20230217;20210628;11986;MPV;7;GRIJS;Niet geregistreerd;5;2521;1974;2700;2074;750;2250;20041025;20070706;Geen verstrekking in Open Data;;Ja;4;4;0;0;480;0;M1;midden tegen schutbord onder motorkap;2700;e9*2001/116*0046*06;CZ59;CZ5954??;0;0.07;286;Nee;Nee;Nee;4950;0;2022;Geen oordeel;05;Ja;2023-02-17T00:00:00.000;2021-06-28T00:00:00.000;2004-10-25T00:00:00.000;2007-07-06T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;
GZ335B;Personenauto;VOLVO;V60 TWIN ENGINE;20220918;20190112;463;stationwagen;5;WIT;Niet geregistreerd;5;2400;1880;2505;1980;750;1800;20150918;20150918;Geen verstrekking in Open Data;69625;Ja;5;4;0;0;464;0;M1;in bodemplaat r. v.;2505;e9*2007/46*0093*09;GWDC;GWDCH0??;0;0.01;278;Nee;Nee;Nee;4305;0;2021;Logisch;00;Ja;2022-09-18T00:00:00.000;2019-01-12T00:00:00.000;2015-09-18T00:00:00.000;2015-09-18T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;G;0;;;;;;;;;;;;;;;;;
81SVJD;Personenauto;VOLVO;S40;20221214;20161216;8092;sedan;5;GRIJS;Niet geregistreerd;5;2435;1364;1940;1464;700;1500;20060517;20060517;Geen verstrekking in Open Data;33659;Ja;4;4;0;0;447;0;M1;midden op schutbord onder motorkap;1940;e4*2001/116*0076*09;MS66;MS6649??;0;0.07;264;Nee;Nee;Nee;3440;0;2021;Logisch;00;Ja;2022-12-14T00:00:00.000;2016-12-16T00:00:00.000;2006-05-17T00:00:00.000;2006-05-17T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;
GZ457D;Personenauto;VOLVO;V60;20221222;20150911;4022;stationwagen;5;ZWART;Niet geregistreerd;4;1969;1471;2120;1571;750;1800;20141222;20150911;Geen verstrekking in Open Data;42821;Ja;4;4;0;0;464;0;M1;r. bodemplaat by voorzitting;2120;e9*2007/46*0023*16;FW73;FW73C1??;0;0.08;278;Nee;Nee;Nee;3920;0;2021;Geen oordeel;05;Ja;2022-12-22T00:00:00.000;2015-09-11T00:00:00.000;2014-12-22T00:00:00.000;2015-09-11T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;F;0;;;;;;;;;;;;;;;;;
